"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Philippines","1997","450200","Natural cork, debacked, roughly squared, in blocks et","Import","7302","4062","Volume in litres","16926"
"Philippines","1997","450310","Corks and stoppers, natural cork","Import","169018","34442","Weight in kilograms","34442"
"Philippines","1997","450390","Natural cork articles other than corks or stoppers","Import","46113","6139","Weight in kilograms","6139"
"Philippines","1997","450390","Natural cork articles other than corks or stoppers","Export","5089","43","Weight in kilograms","43"
"Philippines","1997","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","381584","194245","Weight in kilograms","194245"
"Philippines","1997","450490","Articles of agglomerated cork","Import","35306","4456","Weight in kilograms","4456"
"Philippines","1997","450490","Articles of agglomerated cork","Export","12094","1925","Weight in kilograms","1925"
"Philippines","1996","450110","Natural cork, raw or simply prepared","Import","73526","11812","Volume in litres","49221"
"Philippines","1996","450190","Waste cork, crushed, granulated or ground","Import","56468","7359","Volume in litres","30665"
"Philippines","1996","450200","Natural cork, debacked, roughly squared, in blocks et","Import","17192","9375","Volume in litres","39066"
"Philippines","1996","450310","Corks and stoppers, natural cork","Import","309783","50793","Weight in kilograms","50793"
"Philippines","1996","450310","Corks and stoppers, natural cork","Export","64962","23355","Weight in kilograms","23355"
"Philippines","1996","450390","Natural cork articles other than corks or stoppers","Import","93912","13514","Weight in kilograms","13514"
"Philippines","1996","450390","Natural cork articles other than corks or stoppers","Export","4788","894","Weight in kilograms","894"
"Philippines","1996","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","349630","153780","Weight in kilograms","153780"
"Philippines","1996","450490","Articles of agglomerated cork","Import","7643","874","Weight in kilograms","874"
"Philippines","1996","450490","Articles of agglomerated cork","Export","83175","53898","Weight in kilograms","53898"
"Poland","2013","450110","Natural cork, raw or simply prepared","Import","90525","27180","Weight in kilograms","27180"
"Poland","2013","450110","Natural cork, raw or simply prepared","Export","21805","8010","Weight in kilograms","8010"
"Poland","2013","450190","Waste cork, crushed, granulated or ground","Import","141036","22726","Weight in kilograms","22726"
"Poland","2013","450190","Waste cork, crushed, granulated or ground","Export","618","165","Weight in kilograms","165"
"Poland","2013","450200","Natural cork, debacked, roughly squared, in blocks et","Import","112630","44084","Weight in kilograms","44084"
"Poland","2013","450200","Natural cork, debacked, roughly squared, in blocks et","Export","106869","40692","Weight in kilograms","40692"
"Poland","2013","450310","Corks and stoppers, natural cork","Export","116143","9023","Weight in kilograms","9023"
