year,COUNTRY,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2001,Switzerland,872.1,846.9,937.3,1082.9,846,784.8,753.8,681.1,624.3,827.8,764.5,648.1,9669.6,934.6,1132.4,1173.8,1011.1,1236.2,980.1,486.1,514.9,400.9,650.4,706.6,580.2,9807.3
2002,Switzerland,595.5,614,791.1,856.9,810.1,841.9,869.5,722.7,745.6,906.3,845.2,783.3,9382.1,497.4,526.5,722.7,683.3,745.9,754,715.4,536.4,585.1,657.1,621.3,737.5,7782.6
2003,Switzerland,754.892041,728.926045,934.23153,922.114584,1002.672352,823.163037,907.273026,710.66671,909.871931,1005.126132,1013.982568,972.333673,10685.25363,641.798999,579.819041,702.717564,659.822026,683.642154,1104.890819,659.655245,845.068645,651.841871,757.793629,713.572312,655.75314,8656.375445
2004,Switzerland,788.044835,866.068496,1083.291728,1129.884725,885.728065,968.142646,1054.603999,869.678432,855.728851,1009.511925,1068.19588,1048.84988,11627.72946,620.680548,615.725908,755.271464,748.103096,723.192021,983.518366,713.635847,764.915594,728.035412,813.306261,932.011556,881.532502,9279.928575
2001,Philippines,1102.7,990.5,1051.6,852.9,861.9,896.8,940.4,937.7,929.6,1057.7,876.4,827.3,11325.5,756.2,689.3,700,642.3,740.9,625.8,556.8,622.4,572.6,624.5,590.2,539,7660
2002,Philippines,861.2,788.4,907.5,854,891,942,992.6,1072.1,1048.9,939.9,840.3,841.9,10979.8,567.7,560.4,627.4,604.4,657.3,634.5,550.1,640.8,615.8,599.1,598.8,619.8,7276.1
2003,Philippines,897.313935,796.074461,936.213566,759.277661,743.604901,885.420807,879.26187,870.519745,924.727908,888.732715,725.009128,752.875082,10059.03178,623.0529,651.439075,815.758673,620.98006,667.003518,622.208113,718.104985,689.560175,658.067611,618.958632,632.157172,670.007334,7987.298248
2004,Philippines,712.919675,723.984723,840.453583,701.90919,696.983189,798.574627,783.618202,851.663343,800.019138,803.361376,724.374153,698.808307,9136.669506,601.281481,637.716154,718.585654,668.244092,629.632515,562.365838,578.2101,558.89529,571.566794,565.621745,552.676773,442.178173,7086.974609
2001,Spain,542,416.8,425.3,435.7,476,454.3,414.2,433.3,358.5,426,421.7,393.5,5197.3,459.2,529.7,617.3,420.1,491.2,505.3,314.4,427.5,488.7,525.2,522.4,455,5756
2002,Spain,436,378.7,493.9,528.4,494.5,424.9,521.1,474.8,404.5,449,560.2,567.1,5733.1,502.3,496,433.6,395.5,364.9,373.9,357.1,392.2,441,566.8,441.7,532.8,5297.8
2003,Spain,495.761684,465.487683,564.707321,563.60353,515.200842,566.948234,655.35952,562.002573,468.001638,574.15542,585.527222,659.908352,6676.664019,471.68803,467.511073,480.076415,604.600284,426.031425,481.925149,416.520629,436.671598,425.478928,556.118171,660.979862,502.259473,5929.861037
2004,Spain,521.198088,530.847151,711.952096,580.894291,634.698317,671.620915,584.912856,639.685314,532.442957,628.780665,622.810876,690.315403,7350.158929,562.171221,600.799218,602.885926,490.811143,482.21859,524.81327,575.393572,481.717349,480.219168,572.163424,603.322689,566.102999,6542.618569
2001,Israel,1112.5,963.2,1101.5,862.2,1087.9,947,1026,973.7,808,1018.9,1093.3,965,11959.2,827.2,817.1,717.3,603.5,671.9,707.8,565.1,531.6,437.1,513.6,521.6,561.5,7475.3
2002,Israel,1101.8,923.3,997,938.7,1121.9,932.5,1171,972.8,964.4,1193.2,1092.1,1007,12415.7,558.6,582.3,538.7,588.6,548.5,742.7,513.7,611.7,471.2,540.3,695,635.4,7026.7
2003,Israel,1255.227631,1057.06528,1068.337695,893.227843,1086.33087,939.331602,1214.169727,877.921801,1124.805763,1088.911237,1038.383496,1124.851157,12768.5641,593.144925,574.18897,709.838414,522.125617,511.285086,550.705522,523.099105,544.61944,532.548012,508.979041,601.079718,720.437854,6892.051704
2004,Israel,1146.643996,1062.69031,1263.479562,1012.438511,1274.553968,1345.101661,1314.051125,1004.432634,1275.101597,1224.365852,1441.741502,1186.867872,14551.46859,571.172756,641.881339,699.423397,793.707677,688.618437,881.449767,740.779196,743.410429,814.104673,899.159996,804.689879,890.656015,9169.053561
2001,India,888.6,743.4,846.7,760.2,787.2,720.2,878.1,951.9,857,905.9,736.7,661.4,9737.3,277.3,351.5,303.7,277.5,351.5,343.6,278.7,340.8,300.3,290.8,304.3,337,3757
2002,India,960.3,792.1,952.2,967.5,993.7,875.4,1074.3,1114.8,1065.8,1240.9,892.8,888.6,11818.4,282.7,265,380.3,309,314.7,343.7,289.1,381.7,341.2,367.3,410.2,416.1,4101
2003,India,1158.38374,993.822247,1103.516142,1076.425448,1040.473286,1052.097661,1112.456066,1172.308847,1237.755863,1252.449466,904.890689,950.711178,13055.29063,424.760757,388.325962,374.661553,330.933091,419.644834,391.82846,459.037954,394.711553,428.532447,493.229991,402.120706,471.905812,4979.69312
2004,India,1181.200818,1136.023421,1459.496456,1247.414377,1234.759332,1142.57437,1401.809225,1349.646813,1386.317221,1552.112675,1240.475541,1240.206191,15572.03644,341.530573,389.430644,468.109897,438.636363,453.861234,533.787894,585.626571,579.973319,584.545644,604.867486,558.294784,570.692616,6109.357025
2001,Thailand,1360.4,1095.7,1251.6,1116.8,1152.5,1205.9,1271.4,1319.4,1257.5,1394.2,1225.4,1076.2,14727,593.3,589.1,577.9,450.9,662.1,646.1,376.4,405.1,362.5,452.5,433.8,439.7,5989.4
2002,Thailand,1092,1016.7,1145.8,1135.7,1187.3,1236.4,1328.8,1374.5,1361.8,1311,1320.8,1282.1,14792.9,382,391.1,457.4,383.4,391,406.4,344.1,393.7,373.1,454.8,466.7,416.5,4860.2
2003,Thailand,1195.973135,1093.87493,1204.350906,1168.938277,1174.052458,1234.544078,1286.943201,1289.223987,1382.046997,1470.157413,1333.557372,1344.829606,15178.49236,407.378706,540.935052,496.716991,404.314721,389.264027,426.787786,395.065202,441.228204,397.996614,728.204167,717.211275,490.210194,5835.312939
2004,Thailand,1257.06312,1249.730035,1435.481082,1331.797131,1320.163746,1487.678057,1526.16988,1553.22279,1505.89304,1623.628302,1670.730398,1617.387088,17578.94467,490.022058,528.607303,528.318527,476.029494,523.799623,501.71975,486.559385,543.176837,567.953335,571.711011,568.092867,582.446349,6368.436539
2001,Saudi Arabia,1304.7,1280.1,1218.8,1120.2,1330.6,1147.8,1157.3,1256.1,1124.3,849.4,822.3,660.6,13272.2,482.9,382,874.2,595.2,465.3,395.5,526.5,406.1,520.5,397.9,480.9,430.6,5957.6
2002,Saudi Arabia,803.3,800.5,845.7,1131.3,1134.1,899.4,1175.9,1198,1144,1468.3,1073.1,1476.3,13149.9,289.3,321.8,376.6,367.6,472.4,396.3,413.3,403.5,418.7,484.4,412.3,424.6,4780.8
2003,Saudi Arabia,1615.888089,1382.693374,1692.647811,1729.205469,1661.497832,1655.442115,1698.392947,1258.357931,1512.23298,1271.543884,1356.773904,1233.938256,18068.61459,335.717002,369.668343,408.696708,378.245931,360.437716,441.776369,348.305212,339.983159,458.620866,358.110225,352.427055,443.760556,4595.749142
