"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Algeria","1996","970110","Paintings/drawings/pastels executed by hand","Export","245","0","No Quantity","0"
"Algeria","1996","970190","Collages, similar decorative plaques","Import","812","0","No Quantity","0"
"Algeria","1996","970190","Collages, similar decorative plaques","Export","480","0","No Quantity","0"
"Algeria","1996","970500","Collections and collectors pieces","Import","3002","0","No Quantity","0"
"Algeria","1995","970110","Paintings/drawings/pastels executed by hand","Import","1729","0","No Quantity","0"
"Algeria","1995","970190","Collages, similar decorative plaques","Import","121","0","No Quantity","0"
"Algeria","1995","970190","Collages, similar decorative plaques","Export","100","0","No Quantity","0"
"Algeria","1995","970200","Original engravings, prints and lithographs","Import","7775","0","No Quantity","0"
"Algeria","1995","970500","Collections and collectors pieces","Import","629","0","No Quantity","0"
"Algeria","1994","970110","Paintings/drawings/pastels executed by hand","Import","67472","0","No Quantity","0"
"Algeria","1994","970190","Collages, similar decorative plaques","Import","485","0","No Quantity","0"
"Algeria","1994","970200","Original engravings, prints and lithographs","Import","5773","0","No Quantity","0"
"Algeria","1993","970110","Paintings/drawings/pastels executed by hand","Import","2652","0","No Quantity","0"
"Algeria","1993","970190","Collages, similar decorative plaques","Import","482","0","No Quantity","0"
"Algeria","1993","970200","Original engravings, prints and lithographs","Import","584","0","No Quantity","0"
"Algeria","1993","970300","Original sculptures and statuary, in any material","Import","69139","0","No Quantity","0"
"Algeria","1993","970500","Collections and collectors pieces","Import","1641","0","No Quantity","0"
"Algeria","1992","970110","Paintings/drawings/pastels executed by hand","Import","356","0","No Quantity","0"
"Algeria","1992","970190","Collages, similar decorative plaques","Import","161","0","No Quantity","0"
"Algeria","1992","970200","Original engravings, prints and lithographs","Import","96","0","No Quantity","0"
"Algeria","1992","970500","Collections and collectors pieces","Import","1750","0","No Quantity","0"
"Andorra","2006","970110","Paintings/drawings/pastels executed by hand","Export","61182","92","No Quantity",""
"Andorra","2006","970190","Collages, similar decorative plaques","Export","225","4","Weight in kilograms","4"
"Andorra","2006","970400","Used postage and revenue stamps, first day covers, et","Export","3776815","371","Weight in kilograms","371"
"Andorra","2006","970500","Collections and collectors pieces","Export","23987","700","Weight in kilograms","700"
"Andorra","2005","970110","Paintings/drawings/pastels executed by hand","Export","68143","95","No Quantity",""
"Andorra","2005","970400","Used postage and revenue stamps, first day covers, et","Export","2685858","134","Weight in kilograms","134"
"Andorra","2004","970110","Paintings/drawings/pastels executed by hand","Export","25219","153","No Quantity",""
"Andorra","2004","970110","Paintings/drawings/pastels executed by hand","Import","2804682","1956","Number of items","681"
"Andorra","2004","970190","Collages, similar decorative plaques","Import","40480","164","Weight in kilograms","164"
"Andorra","2004","970190","Collages, similar decorative plaques","Export","25464","125","Weight in kilograms","125"
"Andorra","2004","970200","Original engravings, prints and lithographs","Import","112710","288","No Quantity",""
"Andorra","2004","970200","Original engravings, prints and lithographs","Export","13682","30","No Quantity",""
"Andorra","2004","970300","Original sculptures and statuary, in any material","Import","179884","2448","No Quantity",""
"Andorra","2004","970300","Original sculptures and statuary, in any material","Export","206565","2011","No Quantity",""
"Andorra","2004","970400","Used postage and revenue stamps, first day covers, et","Import","25459","8","Weight in kilograms","8"
"Andorra","2004","970500","Collections and collectors pieces","Import","4905","148","Weight in kilograms","148"
"Andorra","2004","970600","Antiques older than one hundred years","Import","51129","124","Weight in kilograms","124"
"Andorra","2003","970110","Paintings/drawings/pastels executed by hand","Import","548539","1331","No Quantity",""
"Andorra","2003","970110","Paintings/drawings/pastels executed by hand","Export","247441","441","No Quantity",""
"Andorra","2003","970190","Collages, similar decorative plaques","Import","17111","129","Weight in kilograms","129"
"Andorra","2003","970190","Collages, similar decorative plaques","Export","28","31","Weight in kilograms","31"
"Andorra","2003","970200","Original engravings, prints and lithographs","Import","41664","99","No Quantity",""
"Andorra","2003","970300","Original sculptures and statuary, in any material","Import","835313","7201","No Quantity",""
"Andorra","2003","970300","Original sculptures and statuary, in any material","Export","101003","276","No Quantity",""
"Andorra","2003","970400","Used postage and revenue stamps, first day covers, et","Import","414768","44","Weight in kilograms","44"
"Andorra","2003","970400","Used postage and revenue stamps, first day covers, et","Export","3397","120","Weight in kilograms","120"
"Andorra","2003","970500","Collections and collectors pieces","Import","210727","4477","Weight in kilograms","4477"
"Andorra","2003","970500","Collections and collectors pieces","Export","4161","120","Weight in kilograms","120"
"Andorra","2003","970600","Antiques older than one hundred years","Import","27520","1538","No Quantity",""
"Andorra","2002","970110","Paintings/drawings/pastels executed by hand","Import","655651","1867","No Quantity",""
"Andorra","2002","970110","Paintings/drawings/pastels executed by hand","Export","42415","414","No Quantity",""
"Andorra","2002","970190","Collages, similar decorative plaques","Import","46132","524","Weight in kilograms","524"
"Andorra","2002","970190","Collages, similar decorative plaques","Export","4867","58","Weight in kilograms","58"
"Andorra","2002","970200","Original engravings, prints and lithographs","Import","147","1","No Quantity",""
"Andorra","2002","970300","Original sculptures and statuary, in any material","Import","73130","9733","No Quantity",""
"Andorra","2002","970300","Original sculptures and statuary, in any material","Export","29961","3120","No Quantity",""
"Andorra","2002","970400","Used postage and revenue stamps, first day covers, et","Import","4591","10","Weight in kilograms","10"
"Andorra","2002","970400","Used postage and revenue stamps, first day covers, et","Export","479","300","Weight in kilograms","300"
