year,COUNTRY,I_1,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2002,Brazil,1093,15780.5,1016.1,1004.3,1075.5,1058.6,968.5,1017.2,970.4,1134,1052.5,1159.4,1037.4,882,12375.9
2003,Brazil,1434.333961,17910.336,809.298446,811.927089,936.9169,847.168592,882.28638,942.207946,951.345692,1031.027992,923.85568,1034.004704,1000.686724,1040.281914,11211.00806
2004,Brazil,1393.365326,21159.92092,1042.49573,1317.4445,1270.024756,1104.274051,1152.621375,1072.303333,1160.335783,1230.464995,1130.662096,1181.246407,1109.536097,1115.014229,13886.42335
2001,Venezuela,1678.3,15250.4,461.3,410.8,516.6,451,493.6,524,477.4,511,416.3,499.1,481,400.1,5642.2
2002,Venezuela,916.3,15093.6,374.2,379,365.4,320.1,677.3,272.4,303.9,328.9,400,373.9,469.9,164.7,4429.7
2003,Venezuela,399.474686,17136.09409,120.835379,187.492385,182.81759,178.763641,182.267924,218.36722,279.19928,288.420661,241.131151,307.474315,347.806927,296.39789,2830.974363
2004,Venezuela,1764.850051,24920.56384,280.529606,290.858655,398.39866,389.019419,377.365425,392.796682,404.445841,413.761197,409.385594,485.983223,460.5563,464.31548,4767.416082
2001,Ireland,1496.9,18499.4,756,629.9,692,536.5,569.6,514.3,453.8,532,503.4,781.4,531.7,643.4,7144
2002,Ireland,1516.6,22437.6,598.7,591.1,556.2,480.5,621.2,581.5,524.5,506.9,432,519.7,673,659.7,6745
2003,Ireland,2112.000824,25746.52947,679.653353,612.121018,569.389588,714.99157,541.790587,568.890827,633.273296,622.136575,854.461897,618.83191,643.106387,637.015649,7695.662657
2004,Ireland,1520.7634,27447.87902,627.558962,701.975267,698.410174,559.277866,625.242676,572.592368,590.253368,556.621683,638.886407,631.279346,618.036552,731.485286,7551.619955
2001,Ecuador,190.1,2009.5,113.1,100.5,126,109.7,125.8,127,110.8,95.1,103.5,126,137.4,137.2,1412.1
2002,Ecuador,140.2,2143.4,122.9,147.2,151.9,163.3,132.6,109.2,133.7,122.9,113.4,157.9,135.2,115.4,1605.6
2003,Ecuador,198.877398,2721.985419,119.742547,111.505859,125.567521,125.072825,121.549752,119.44674,122.782714,110.614222,105.848119,136.346711,131.256117,116.955926,1446.689053
2004,Ecuador,311.633636,4283.399559,116.257909,133.374138,143.299335,121.949651,115.494367,123.76641,144.941176,121.090062,138.96671,169.337991,158.11937,182.015998,1668.613117
2001,Peru,172.9,1843.9,107,121.5,141.5,121.7,140.7,140,136.7,140.6,116,139.8,134.8,123.9,1564.2
2002,Peru,157.3,1939.3,124.6,121.7,126.9,135.2,156.8,127.4,131.6,119.4,112.8,126.4,153,126.7,1562.5
2003,Peru,175.04362,2408.723259,127.633051,143.041823,168.179777,133.065802,128.027344,134.427921,155.250781,166.507714,130.393927,124.026811,154.351012,133.62511,1698.531073
2004,Peru,228.805894,3701.553446,145.052256,155.749841,180.400711,142.344853,196.525863,143.82989,186.599774,179.222186,175.348632,190.056169,211.110873,194.783843,2101.024891
