Congo,262127995,299815014,360186702,480068160,579972135,683383967,708912532,707038512,878798360,1194373054,1705782650,1993534407,2160701430,2097392379,2193601963,2160983835,1849252333,2297633920,2212415446,2424777039,2798746051,2724853508,2933222706,2684323618,1776461921,2116003868,2540697538,2322719101,1924903100,2353909442,3219910666,2794259756,3019993723,3495868725,4648628839,6086924578,7731270258,7435524700,10176075299,9338898834,12281005851,16289322720,14763149276
Cook Islands,10361796,10385439,10805323,13996427,16443726,16122925,15233029,17712178,20593460,23469947,25865162,26636335,26644053,26331935,27360244,28597677,36863117,47730685,58670078,60001347,67491537,72441069,74960016,83815342,99499675,105918334,106805863,98192622,85631410,91689386,91632136,96236225,111196938,152772272,178476399,182557802,187853130,227935361,233438351,216155230,256653205,289661006,306156605
Costa Rica,1251404893,1368605890,1573340490,1942551394,2117533092,2491500110,3065412454,3903819661,4476545929,5127404928,6138830918,3333778391,3311929571,3998237458,4650945634,4984285265,5596038624,5758917215,5862136442,6639601879,7254064066,7162408649,8573611156,9638291737,10557529711,11715889185,11844416348,12829113978,14099606376,15796307442,15946615739,16403561441,16844494493,17517584725,18595339727,19964925487,22526463558,26322000141,29837895747,29382694888,36298327600,41031089552,45107420042
Côte d'Ivoire,1500930867,1597118896,1872163797,2540248891,3070235435,3894049302,4661873596,6265332806,7901447798,9141834188,10175551514,8432593940,7566940615,6838481401,6841410680,6977650642,9158665698,10087624533,10253544614,10714454782,11892834267,11531089450,12032862336,11152603588,8314050721,11104913313,12139146708,11722143261,12640877308,12561330037,10681535710,11192563448,12346923456,15306598754,16554441555,17084937019,17275637527,19696023891,23280879066,23043235717,22920453616,24074248311,24406271721
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16352546582,13361366097,12076466980,12802235747,17126733135,22096173094,23344292468,23610399343,25249370159,23077522184,21517900219,23051975648,26524951940,34143633728,41003319777,44821210474,49855140039,59335610718,69586470909,62201993374,58895284957,61785005907,56447092969
Cuba,5693005244,6914658389,8135150889,9987709686,11405957363,13027415252,13789579893,14206158658,17844705319,19584443219,19912889808,20150254124,20953510266,22205716020,24039383641,22921491787,24226283927,25213614325,27458999536,27025200369,28645436551,24317883624,22085858204,22367254851,28448326796,30428508821,25017300000,25366200000,25736600000,28365300000,30565200000,31683300000,33590400000,35901500000,38202800000,42644200000,52742100000,58603500000,60806200000,62078610000,64328220000,69511435768,71016500000
Cyprus,568688136,665760465,809950922,985777861,873385913,728482810,842165823,1073354710,1404267178,1839691456,2229942243,2152125895,2232158338,2234710035,2353362825,2502897225,3198327297,3832416239,4420737828,4722711346,5777093482,5963410711,7146525365,6816961003,7675912096,9169039183,9269472243,8807582321,9457076815,9709778477,9173913329,9599180496,10439472690,13155257773,15640136519,16902225995,18406387095,21741756492,25132159896,23412704682,23052985063,24852741271,22768074886
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35240865213,27667848359,32840618628,39263593590,45972699981,57785888322,64895207513,59464295009,63863336207,62165739783,58802800633,64375860740,78425357368,95292530753,113976672925,130066444281,148374084906,180478622230,225426789027,197187168861,198493579255,216061200559,196446226536
Czechoslovakia (Former),16294289496,17038566807,19527364034,23073680709,24753774314,27299650890,26914036073,38583148182,42500627409,45672113579,47821773696,50777704075,51175627232,50810168852,45917764538,45928514150,53903069827,60510967841,59797613779,58629877548,55594856016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.P.R. of Korea,4927332597,5439775187,6005511807,6630085035,7319613878,8080853721,8412168724,8757067642,9116107415,9489867819,9878952400,10244473639,12868200913,12855131499,12251319042,12074736049,13653901719,14391200030,14192727273,15771363636,14702304147,13687441860,12457619048,10744075829,8307075472,4849295775,10587906977,10322790698,10273488372,10280000000,10607906977,11021860465,10910000000,11051000000,11168000000,13031196790,13764393535,14374670965,13336798315,12035152492,13945167273,15689234225,14411163172
