"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Jamaica","2011","460210","Basketwork, wickerwork products of vegetable material","Export","1094","39","Weight in kilograms","39"
"Jamaica","2011","460290","Basketwork and wickerwork products, non-vegetable","Import","103021","17868","Weight in kilograms","17868"
"Jamaica","2011","460290","Basketwork and wickerwork products, non-vegetable","Export","1560","16","Weight in kilograms","16"
"Jamaica","2010","460120","Mats, matting and screens, vegetable plaiting materia","Import","21406","3331","Weight in kilograms","3331"
"Jamaica","2010","460120","Mats, matting and screens, vegetable plaiting materia","Export","6844","413","Weight in kilograms","413"
"Jamaica","2010","460191","Plaited vegetable material articles not mats or scree","Import","1564","234","Weight in kilograms","234"
"Jamaica","2010","460191","Plaited vegetable material articles not mats or scree","Export","385","22","Weight in kilograms","22"
"Jamaica","2010","460199","Products of non-vegetable plaiting materials","Import","35657","3172","Weight in kilograms","3172"
"Jamaica","2010","460210","Basketwork, wickerwork products of vegetable material","Import","237630","31063","Weight in kilograms","31063"
"Jamaica","2010","460210","Basketwork, wickerwork products of vegetable material","Export","4999","1292","Weight in kilograms","1292"
"Jamaica","2010","460210","Basketwork, wickerwork products of vegetable material","Re-Export","396","903","Weight in kilograms","903"
"Jamaica","2010","460290","Basketwork and wickerwork products, non-vegetable","Import","87787","17476","Weight in kilograms","17476"
"Jamaica","2010","460290","Basketwork and wickerwork products, non-vegetable","Export","1743","494","Weight in kilograms","494"
"Jamaica","2010","460290","Basketwork and wickerwork products, non-vegetable","Re-Export","792","438","Weight in kilograms","438"
"Jamaica","2009","460120","Mats, matting and screens, vegetable plaiting materia","Import","80067","13701","Weight in kilograms","13701"
"Jamaica","2009","460191","Plaited vegetable material articles not mats or scree","Import","1106","314","Weight in kilograms","314"
"Jamaica","2009","460199","Products of non-vegetable plaiting materials","Import","5596","102","Weight in kilograms","102"
"Jamaica","2009","460199","Products of non-vegetable plaiting materials","Export","200","2","Weight in kilograms","2"
"Jamaica","2009","460210","Basketwork, wickerwork products of vegetable material","Import","204251","38274","Weight in kilograms","38274"
"Jamaica","2009","460210","Basketwork, wickerwork products of vegetable material","Export","1963","145","Weight in kilograms","145"
"Jamaica","2009","460210","Basketwork, wickerwork products of vegetable material","Re-Export","270","47","Weight in kilograms","47"
"Jamaica","2009","460290","Basketwork and wickerwork products, non-vegetable","Import","104096","17944","Weight in kilograms","17944"
"Jamaica","2009","460290","Basketwork and wickerwork products, non-vegetable","Export","1337","153","Weight in kilograms","153"
